,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
17-20,31.72535325,0,73.789903,2.2414716,0.933012,8.920443,1.05059,24.774021,1.6682352,3.62624,340.160906,0.437782,3.328732,20.67262425,1.709237,114.431,164.423572,424.987329,3.56869,0.958951,0.2917085,13.986394,5.36981,16.02094283,0.8199728,70.93111,44.5073802,1.515183,73.754633,717.6096133,229.40043,41.363831,NA,47.82934,1347.668946,51.648771,45.256505,39.963017,63.014299,7.62672,31.1346
17-22,32.68848803,0,87.304403,2.550091,1.280994,0.749121,0.720841,8.097831,2.710155,9.46899,199.363489,0.674282242,6.410716,42.588762,3.075486,269.734,193.902051,867.863293,10.04305,0.7097442,0,24.0595873,5.09194,13.311084,2.541257,61.50347,40.3343111,7.184143,55.12481,4312.93478,292.8536876,31.940539,NA,297.1705,1328.594638,47.362503,47.788899,42.69152,47.35088,9.277755,26.7029
17-23,26.1266141,0.572892,19.316022,15.0305068,0.760131,3.753397,5.22315203,8.225428,2.399435,7.13497,974.891148,1.886072,2.583932,25.173544,2.011015,153.914,169.59382,128.476573,3.75121,0.583624,0,11.21931291,0.352157,17.55688372,1.614486,83.51802,5.1662608,3.233248,56.178644,501.82726,80.188536,69.026063,NA,97.95649,1607.554244,54.523381,55.031896,34.49585,62.901941,5.3375608,17.252257
17-24,27.96164,0.160028,34.506342,4.7539694,0.875479,4.441408,3.8350212,36.23264,2.803046004,5.33272,443.087221,0.348576001,3.7709081,25.497972,1.555783,158.569,196.010189,1257.963018,2.03101,1.034016577,5.1211,14.17320592,10.1503,15.71562087,2.145526,51.110938,28.1627315,3.595858,64.107814,916.04154,254.461991,34.886981,NA,300.2069,1606.510991,35.34149,46.93658,29.786016,41.081075,8.461783,13.151698
17-25,27.4296338,0,18.929891,0.332162,2.538347,2.2891267,27.6421075,8.18892,4.398707,5.82101,770.190044,1.0142113,6.042171,21.2413566,0.7170984,66.0188,325.493654,1113.985561,8.11612,2.759888,4.53589,15.81040502,0.265742,14.12556341,1.201121,50.46483,42.7586783,1.25547,65.100253,371.517292,321.009716,37.334809,NA,57.0934,1475.913084,53.038431,44.843907,41.758259,69.708012,4.941451,26.676484
17-28,24.28070433,0,62.655287,2.59661,1.20766,2.202416,2.7913287,20.07788,3.215601446,4.39387,278.1477038,1.0117611,2.755701,28.907814,1.036153,131.024,172.523951,728.427341,2.40657,0.627842,0.215081,7.730462634,14.758,12.7924604,1.2026321,37.91439,16.089781,4.72995,58.428728,995.1693,244.647495,36.234408,NA,445.5553,1913.067744,37.219641,40.692565,32.962653,60.084266,6.713532,17.502132
17-29,26.91197219,0.381631,9.213747,2.12331,5.184462,10.257624,13.763461,31.617693,5.026373938,14.8905,1583.922217,1.2645743,5.35781,27.210672,0.7448445,158.761,86.343823,3241.899593,9.358344,3.284755,1135.45314,13.66639085,136.214,15.9461629,2.223787,59.60411,4.2273106,14.997755,52.931342,805.93575,131.952369,41.172744,NA,160.5507,1708.927563,42.954152,48.56401478,28.476444,50.407497,4.749046,15.558423
17-30,36.3805495,0,3.07342,0.9333402,5.24445,1.44834,25.72462,21.980524,11.035446,35.9206,1230.353037,0.353145301,10.502206,26.049338,1.03917,363.603,109.143725,6078.315955,7.33273,7.414275,0.12978,36.523536,5.17767,7.9647452,4.018124,94.36706,9.4610134,21.372019,80.913934,516.772755,14.892,65.871153,NA,11.67172,1515.378474,51.487874,62.345244,54.14275,69.216809,10.62738,25.246041
17-33,39.263041,0,93.33112,1.029961,0.704376,1.707436,0.787553,14.483681,2.9375997,8.22189,33.797127,0.618620833,3.5501975,22.908765,1.137815,123.253,558.88632,4178.92981,4.38219,1.173171,0.129254,18.82081682,1.38023,12.51579073,0.856871,70.4567,36.515888,6.28043,67.726866,866.38945,198.769,33.202783,NA,727.0399,1606.652998,42.41241,40.279031,36.640166,54.174984,9.044061,28.43448
17-34,30.80405521,0.293204,8.566284,0.2594709,7.832575,7.005379,5.442654,93.15684,6.8264686,58.6777,2842.546127,2.144332,5.899593,10.63919743,1.305434,121.36,149.01271,2236.3113,3.298895,18.627592,0.454303,11.97968394,0.471094,8.3924249,5.304382,67.78061,5.1167151,1.27097,99.052359,625.231959,119.216,40.796367,NA,248.1309,1556.187755,44.074801,76.448466,46.11971,88.334986,9.427079371,23.99599
17-35,45.9288019,0.0742031,64.141634,5.584453,1.1077,32.50504,4.563894,77.99188,3.8634713,6.39747,1338.472343,0.576737144,6.5836395,32.1381119,1.5194214,273.208,344.465878,18907.38164,71.328067,2.87401,0,12.337245,0.83033,12.285355,1.1565856,96.45131,1.8286603,4.86625,112.86973,608.46767,197.128332,30.89831,NA,124.2786,1185.47332,72.012099,47.58668301,25.808131,69.292129,6.184946253,14.569846
18-03,26.2203325,0,38.931021,2.0331494,1.340826636,22.81462,3.8192206,78.53153,2.8159758,5.2686,283.9925529,0.633994861,5.553193,11.109219,0.943886,237.661,133.28357,16983.95729,37.0962,2.57065,0,9.110986846,2.35881,10.6612561,1.959122,57.495183,2.590761,2.516123,85.121906,352.721893,76.8661,25.995557,NA,107.0595,1071.22871,61.31054,41.361257,19.094971,53.930606,4.655108,12.599719
18-05,32.6260307,0.60915,40.676105,0.685337,1.558011,5.206593,4.593852,8.7489315,3.217581,11.7608,645.014054,1.30758379,7.14908,31.293513,1.05196731,132.778,289.56466,728.6442,9.98474,1.981909202,1.5547977,13.392533,1.71698,15.46580664,2.361708,63.44366,43.7466217,10.792705,71.151558,733.21903,585.94254,31.02439,NA,722.6344,2139.145199,44.664318,45.5043991,36.673967,64.658452,9.897884,20.155192
18-07,30.1521076,0.10682,204.315223,0.89635,0.239008,13.46392,169.503814,46.46118,2.538784,2.79292,868.434717,2.5334743,2.60089425,28.790708,0.108455,372.752,112.21153,292.6606848,0.940585,0.739889,180.394544,13.820891,0.193325,22.10938138,0.7171628,64.65186,11.2950356,2.29347,62.245619,66.695236,216.591768,32.415767,NA,74.397,1725.564914,44.732131,36.079986,31.444805,51.723438,7.550402,14.779614
