"","ARID1B","CCL21","CCND2","CD3E","CDC20","CDK6","CDKN2A","CDKN2C","CHEK1","CKS2","COL1A1","ESR1","EZH2","FBLIM1","FGFR4","GAS1","IFNGR1","IGF2","KDR","KIF20A","KRT14","MDM4","MMP9","MUTYH","MYBL1","PGK1","PGR","PIM1","SPOP","TAGLN","TMEM30B","USF1","LINC02593","CCN1","ACTB","CASC3","GUSB","MRPL19","POP4","TTC21B","KIAA1715"
"RP-1390_PDO-25321_SM-LLY7A_3_8814596E7_v1_RNA_OnPrem.1",17.962744,0.88679,0.21173,1.701586,1.313215,0.632015,3.622435,13.974091,0.788556,9.096639,1560.887793,0.400639,0.922843,14.718291,0.317642,77.757032,216.322444,260.744255,15.735342,1.475837,0.11704,4.383879,0.447652,9.246169,1.410474,73.845348,4.661224,2.716488,61.210277,728.076543,294.409732,42.948583,8.122319,154.833146,936.782224,32.873407,56.656233,22.931892,16.817415,4.016212,14.331204
"RP-1390_PDO-25321_SM-LLY7B_5757554_0_v1_RNA_OnPrem.1",0.997125,0,0,0,0,0.070979,8.663097,2.221339,0.386391,10.198302,43.486457,0,0.480219,1.215926,0,4.891088,0,37.117805,0.433853,0,0,0.3647,0,0,0.657833,5.518476,0.063061,0.660231,2.818387,9.886164,9.020095,8.346542,4.668465,0,30.731959,1.665642,10.687935,1.383806,11.405555,0,2.05002
"RP-1390_PDO-25321_SM-LLY7C_7735210_0_v1_RNA_OnPrem.1",9.663361,0,9.607325,1.213923,3.239934,2.096487,0.934801,60.136992,3.808079,49.149948,60.66609,13.891823,3.276693,13.230116,0.222309,250.014366,416.728805,59.920211,7.054316,3.752099,0.179051,2.631583,2.514354,3.913535,2.529659,100.843722,9.712146,15.700687,37.769494,3491.775547,95.645391,37.098749,4.061638,117.108277,423.583443,27.211833,53.139601,20.127631,20.752571,1.049204,10.805349
"RP-1390_PDO-25321_SM-LLY7D_6312326_0_v1_RNA_OnPrem.1",7.48392,0.226917,3.258111,4.399742,1.014059,6.79318,4.502647,53.745914,2.056115,18.10559,402.609438,0.372696,1.984292,11.980234,1.314557,136.227184,145.755415,487.08771,1.160372,2.002104,0.773561,5.500514,3.661282,5.478882,0.566477,103.300125,2.8043,4.656518,45.169665,422.726736,83.257208,35.372607,6.280922,8.396227,843.542191,29.50632,36.074071,17.661325,58.752578,4.016821,10.17018
"RP-1390_PDO-25321_SM-LLY7E_BT150_2300006_T1_v1_RNA_OnPrem.1",5.261048,0,1.517663,3.932543,1.710893,3.851799,10.446724,42.284807,1.212912,37.473628,1277.392228,0.27279,2.525698,16.840091,0.276482,129.837496,509.96488,119.917192,2.257008,3.560256,0.874402,2.371221,0.761115,3.36045,1.040761,176.404969,1.447657,12.695135,46.136523,201.800218,68.818603,31.689323,2.595549,16.589326,545.918659,22.806655,29.339798,28.036414,51.640976,6.861461,13.130691
"RP-1390_PDO-25321_SM-LLY7F_3_8648655E7_v1_RNA_OnPrem.1",11.467456,0.07099,6.722448,1.38789,0.524071,1.283391,0.177685,6.017905,0.409828,4.760901,79.763609,0.174686,1.650354,13.212822,1.082138,113.976043,92.245585,163.08241,3.306071,0.152332,0.015124,3.637933,1.014545,8.617474,0.347646,36.734024,10.840052,2.209334,34.741985,357.369058,216.726275,29.417464,7.113071,25.163379,167.647215,23.294758,23.773444,19.875876,47.960841,2.881337,6.825113
"RP-1390_PDO-25321_SM-LLY7G_2_3245798E7_v1_RNA_OnPrem.1",11.67136,0,4.424595,4.524837,0.383215,2.657626,1.308566,58.248622,0.94498,17.796242,212.291778,0.792068,1.115406,7.496529,0.08535,255.148422,326.442208,809.821038,0.850456,0.311824,0.204219,3.982606,0.148042,3.598722,0.295751,111.416742,20.362158,20.568372,36.739244,238.938711,221.327593,37.02797,5.624884,48.338835,1042.717267,27.152973,42.531881,25.358688,57.407573,3.600169,9.431036
"RP-1390_PDO-25321_SM-LLY7I_1_0431765E7_v1_RNA_OnPrem.1",11.950709,0.428671,6.973303,7.2966,1.057726,2.898214,0.970216,13.690593,1.027475,8.041899,381.750195,1.215296,1.552729,9.793134,0.545113,88.002344,100.860743,1636.869358,4.466053,0.595504,0.350306,7.141384,1.320969,10.364604,0.191586,71.179788,4.979582,4.414806,43.387588,272.036763,103.349573,49.407801,5.99507,41.701106,804.04961,35.071369,35.784794,19.2998,38.207507,7.750838,6.094541
"RP-1390_PDO-25321_SM-LLY7J_1_838319E7_v1_RNA_OnPrem.1",7.508864,0,5.301454,4.131926,3.627574,1.567409,6.282268,22.5468,5.105598,72.109126,248.375068,0.237753,2.824147,1.588554,0.884454,37.260337,77.600278,2260.012156,0.202541,4.449494,0.561706,6.170519,0.191169,4.902751,3.765866,166.373051,1.48725,11.799182,49.481963,335.776947,39.951068,51.718681,0.829477,1.960571,965.834206,35.932319,27.246959,23.670831,54.717494,4.546644,12.97711
"RP-1390_PDO-25321_SM-LLY7K_2_1049226E7_v1_RNA_OnPrem.1",19.190986,0,7.652668,8.56373,2.518395,0.612432,1.480981,9.415705,7.518914,31.299022,403.55966,0.554393,13.406935,7.172464,0.315667,106.561751,206.015028,109.816999,0.121553,5.346958,0.078855,5.568456,1.509114,10.459916,2.258424,94.88326,54.282403,11.128331,20.791066,10.4678,4.630757,63.815687,0.0068,1.732072,2201.9332,39.138621,58.715127,12.805011,58.241179,3.162994,8.469061
