,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
caris_47,46.0531,0.102729,46.7686,0.462764,0.115325,44.8745,7.73942,7.07843,16.8143,11.9546,1634.88,3.16944,8.61716,6.65536,2.74496,27.695,372.669,1094.23,22.5768,0.861253,0.63761,91.9926,0.51767,8.50416,5.23057,51.7166,10.9317,2.56605,69.9033,67.6218,1.73625,27.3683,,15.7912,1206.32,46.2765,39.791,30.0537,8.9174,53.0525,
caris_48,30.614,0.297168,85.1384,0.739119,0.173011,33.9352,32.4041,12.702,7.71729,17.0864,401.294,4.11738,11.0236,5.22297,1.57945,32.3998,339.097,209.77,6.97456,1.61926,21.8932,169.523,1.8814,18.743,15.0135,97.4238,0.162842,5.32951,183.653,271.125,254.711,48.2879,,36.7588,1444.46,51.9311,26.1111,27.933,13.1968,54.0209,
caris_49,38.7637,0.123551,3.16946,1.20037,3.00125,7.77051,1.10362,0.786915,4.29796,4.79882,140.365,0.288753,16.9165,6.32619,0.514869,15.6174,291.566,686.935,6.07117,3.52186,1.35408,81.8884,84.0495,9.90585,3.06532,50.5762,89.0849,9.1019,59.3052,209.597,206.981,29.0404,,85.1001,717.597,30.2936,29.2991,15.3282,8.10368,38.8853,
caris_50,21.3789,0.172592,17.1453,0.613395,1.06756,19.3483,2.69779,2.8356,2.48722,20.821,2122.98,1.54631,13.5239,4.53871,2.96238,5.11505,87.8843,1060.33,7.61524,11.3102,1.39589,82.4998,2.02878,7.78435,4.45651,98.5421,37.9319,14.8007,57.137,46.4182,0.329779,21.9828,,62.316,1223.36,32.5738,31.5191,20.74,12.2325,20.2631,
caris_51,81.9597,0.134335,72.5731,1.32396,0.836565,1.78031,3.82725,1.90047,8.46937,9.39034,325.127,7.80646,5.1036,27.7504,2.73829,96.09,56.8201,1019.28,3.08747,0.674802,4.12391,5.32374,4.50338,32.0513,0.533964,53.2915,27.1635,2.74559,42.1347,278.984,357.574,44.1151,,124.4,3364.27,45.4596,37.6221,2.64894,1.84228,4.21558,
caris_52,22.9104,0.13368,32.6484,0.916684,0.617274,18.975,4.12719,6.40846,11.5715,2.04822,890.692,3.47321,29.4669,8.66031,0.730559,35.9692,191.849,283.438,10.4816,7.79847,46.8433,268.528,10.9628,5.18141,16.712,72.9832,8.56613,6.23067,128.577,124.001,193.282,20.1349,,11.814,1048.21,29.2946,21.342,10.2381,10.8212,104.433,
caris_53,53.5905,0.117806,6.67867,0.154786,0.257373,17.1252,7.38917,17.2128,5.58022,30.1641,715.089,3.51225,41.311,5.39637,2.63567,49.9241,487.921,884.027,28.3037,14.7278,0.381369,250.031,0.967454,15.0059,27.3771,137.713,24.6383,6.76178,99.6622,84.5303,42.9528,31.0796,,6.15712,1354.18,77.7561,34.9689,50.1532,16.1537,71.382,
caris_54,11.6625,0.487325,6.0127,0.600072,10.9028,8.86584,7.62735,1.40631,2.26697,4.85888,290.648,0.815128,9.99641,5.96179,0.460492,8.14465,92.7699,389.5,33.9151,1.97248,0.330786,83.7605,0.248585,10.3384,6.88108,22.1664,15.0332,2.07808,35.4256,29.2842,9.37394,10.4496,,26.7674,606.002,14.0544,13.3729,7.84728,3.47392,28.4197,
caris_55,12.6852,0.118361,29.6792,0.641283,5.12165,7.44101,3.27516,4.95627,5.98001,4.24406,164.011,0.75402,2.74201,1.23577,0.356986,10.3887,234.191,422.968,9.12014,1.08772,0.777702,27.8703,9.12327,2.35311,3.04331,59.4371,1.8143,3.34613,34.1266,59.9554,47.6423,10.1033,,14.2108,540.156,19.5378,9.97972,15.0964,5.77796,13.7717,
caris_56,22.521,0.379636,39.7446,0.334514,2.51862,11.1237,3.78968,1.99439,3.59332,7.1241,524.958,3.17464,4.79003,1.72185,1.92196,53.6811,311.803,1340.61,6.74577,2.87863,6.36514,44.1189,1.75771,6.19877,3.09656,45.3217,3.9266,1.77113,49.587,32.8776,18.4577,22.47,,6.27632,1357.03,19.0459,22.1373,13.1965,6.05388,16.4419,
