,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
QM200,7.15614953,0.0976941,37.323617,5.3258716,1.659455,2.298917,15.842541,14.581768,1.509425955,15.0124,123.0193155,0.5904183,1.2797874,12.0001546,0.804893,105.906,57.4647,3372.510695,3.48085,0.88053,1.504646,7.650044085,2.4699,16.2387564,0.365896,60.4534,1.7522841,15.162455,25.7266347,1142.269886,60.1007,32.176073,,1086.4331,3866.607336,20.5926455,30.5098498,13.069052,36.339747,3.936702,3.1728
QM202,11.1806294,0,44.5333,4.958274,3.02862,1.244145,11.34962,8.14004,2.94607769,19.5985,404.1566052,0.485583,5.308259,36.670303,1.067008,24.5201,73.7094838,1234.141444,0,0.943962,0.430978,2.465562242,0.721912,17.61396,0.801593,18.11427,8.17701,1.89353,43.759689,610.421991,139.598,43.87459,,51.75499,1674.509426,28.862966,57.444252,19.26563,68.677603,4.515745,6.463743499
QM203,12.7030094,0.10647,89.1086934,2.1528599,3.89593,6.3813691,2.0026421,64.717584,2.1127661,28.7644,108.230362,0.276514,5.571815338,3.5185192,0.703401,117.176,78.262934,9242.476302,5.8409069,5.05252446,0.418453,2.980781302,0.287165,11.90216675,1.348507,92.349816,1.6627706,4.287313,30.10414268,286.97418,1.55304,29.4137273,,2.18069,1341.485044,44.3446978,41.023558,26.016085,94.50236866,7.354234,7.166098
QM205,16.47855151,0.0223689,3.18493,0.351908,3.118059,1.170546,1.62824,11.2385931,2.0990416,12.4635,167.0849548,0.885235641,6.67043,8.987441,0.1348591,25.593,122.590679,125.7831848,0.197243,2.80962853,0,3.386593239,0.0891853,21.95797292,1.72734,37.661035,11.496103,1.549494,51.9265386,796.830381,223.845,40.3565721,,144.13005,1872.14802,31.83862,37.57994871,22.585204,84.0545996,5.569383,9.1826566
QM206,15.98489651,0.0755988,40.7675746,3.6658959,1.627319,3.974059,0.7654639,26.321741,1.369204,6.15006,132.4583612,0.6632887,2.709657544,16.2279026,0.917557,111.086,102.9436459,69.893378,1.674,1.0722289,0.2478288,2.844691165,1.82098,10.24584312,0.88781,68.95896,33.6475205,6.3341393,57.122871,523.839209,162.753,30.898968,,76.240317,1301.127882,32.496219,51.012461,29.88215,76.9391611,6.2179919,11.1290043
QM207,8.9544572,0.999528,5.6291035,15.30643646,8.021935,2.654882,39.3125293,32.7123931,3.7137075,28.8712,114.083168,1.14075354,3.6286434,6.6392571,0.2231016,84.2935,91.053561,330.0422273,0.0612567,3.70785,14.2050721,3.547401545,1.06318,6.3066935,1.1270525,48.164908,1.3130505,34.979436,31.5655709,684.490109,0.513135,38.742126,,290.02215,2347.066261,31.1060854,44.01665,16.855748,60.449318,3.6659396,4.318268
QM209,3.98770567,0,13.6031,0.119271,0.780275,1.124599,3.624875,8.462194,1.0020353,5.99636,1.4452886,0.0854861,0.24774927,0.749104,0.2458032,0.356353,0.730349,5.7223042,0,0,0,1.24699175,0.0895618,6.3662244,0.421462,19.91867,0.1240486,4.164622,16.468306,27.6259145,0.675004,37.102207,,4.0062,1898.907557,25.3235309,8.1738683,9.723833,27.421695,2.387865046,2.68147
QM21,13.01249471,0.0442022,60.375713,0.957725,1.37806,6.2460907,19.0846756,28.682824,2.7738658,25.045,113.891227,1.639086384,5.941140152,10.8835597,0.4825261,111.958,63.908808,573.2626213,0,1.762256,250.90947,11.48292918,0.0354406,12.22905084,1.3483584,85.655521,0.41666298,5.648789,37.9467236,412.561326,27.6389995,40.8271402,,11.9325166,843.4874878,55.8863123,50.13091844,40.0770066,72.783158,10.138676,16.7726873
QM211,11.35992804,0,8.5770354,0.460621,1.549496,6.073701,9.9950751,43.334231,0.895179728,12.3962,160.127039,0.2177891,1.541681,15.76591134,1.5795736,161.356,101.2876578,5625.157803,6.886327,1.2060855,0.62409,5.784922638,2.12414,14.45937776,0.7036862,102.98269,5.9000098,24.687383,29.57493644,1366.03407,1.25126,28.770082,,401.08277,2067.57758,30.3574259,29.859583,22.510767,52.3740642,5.249885,7.1916436
QM212,20.2633915,0,38.6052697,1.3480894,1.814365,1.786131,1.6301141,8.237841,5.491370902,10.4005,16.5598609,0.616733702,3.0053397,17.0870967,2.8720479,167.043,172.541846,548.230767,2.1142409,0.931436,5.20854,4.697893826,1306.6,9.6307243,0.744263,110.062748,37.944295,26.504128,48.1025589,322.489756,154.7732751,38.1394866,,433.29627,1482.54419,48.6589547,41.7368492,42.079592,50.8263362,8.6366191,9.055391
